turn,n,ppr,kir,contextual_accuracy,parametric_correct,contextual_correct,both_correct,kir_count
0,100,0.0,0.0,0.0,0,0,0,0
1,100,0.0,0.0,0.0,0,0,0,0
2,100,0.0,0.12,0.12,0,12,0,12
3,100,0.0,0.13,0.13,0,13,0,13
4,100,0.0,0.15,0.15,0,15,0,15
5,100,0.0,0.08,0.08,0,8,0,8
6,100,0.0,0.1,0.1,0,10,0,10
7,100,0.0,0.05,0.05,0,5,0,5
8,100,0.0,0.04,0.04,0,4,0,4
9,100,0.0,0.06,0.06,0,6,0,6
10,100,0.0,0.06,0.06,0,6,0,6
